time_s,adc_v
0.0,0.0045
0.2,0.0046965
0.4,0.0044264
0.6,0.0043311
0.8,0.0046369
1.0,0.0046176
1.2,0.004319
1.4,0.0044503
1.6,0.0046996
1.8,0.0044749
2.0,0.0043098
2.2,0.0045964
2.4,0.0046541
2.6,0.0043459
2.8,0.0044036
3.0,0.0046902
3.2,0.0045251
3.4,0.0043004
3.6,0.0045497
3.8,0.004681
4.0,0.0043824
4.2,0.0043631
4.4,0.0046689
4.6,0.0045736
4.8,0.0043035
5.0,0.0045
5.2,0.0046965
5.4,0.0044264
5.6,0.0043311
5.8,0.0046369
6.0,0.0046176
6.2,0.004319
6.4,0.0044503
6.6,0.0046996
6.8,0.0044749
7.0,0.0043098
7.2,0.0045964
7.4,0.0046541
7.6,0.0043459
7.8,0.0044036
8.0,0.0046902
8.2,0.0045251
8.4,0.0043004
8.6,0.0045497
8.8,0.004681
9.0,0.0043824
9.2,0.0043631
9.4,0.0046689
9.6,0.0045736
9.8,0.0043035
10.0,0.0045
10.2,0.0046965
10.4,0.0044264
10.6,0.0043311
10.8,0.0046369
11.0,0.0046176
11.2,0.004319
11.4,0.0044503
11.6,0.0046996
11.8,0.0044749
12.0,0.0043098
12.2,0.0045964
12.4,0.0046541
12.6,0.0043459
12.8,0.0044036
13.0,0.0046902
13.2,0.0045251
13.4,0.0043004
13.6,0.0045497
13.8,0.004681
14.0,0.0043824
14.2,0.0043631
14.4,0.0046689
14.6,0.0045736
14.8,0.0043035
15.0,0.0045
15.2,0.0046965
15.4,0.0044264
15.6,0.0043311
15.8,0.0046369
16.0,0.0046176
16.2,0.004319
16.4,0.0044503
16.6,0.0046996
16.8,0.0044749
17.0,0.0043098
17.2,0.0045964
17.4,0.0046541
17.6,0.0043459
17.8,0.0044036
18.0,0.0046902
18.2,0.0045251
18.4,0.0043004
18.6,0.0045497
18.8,0.004681
19.0,0.0043824
19.2,0.0043631
19.4,0.0046689
19.6,0.0045736
19.8,0.0043035
20.0,0.0045
20.2,0.0046965
20.4,0.0044264
20.6,0.0043311
20.8,0.0046369
21.0,0.0046176
21.2,0.004319
21.4,0.0044503
21.6,0.0046996
21.8,0.0044749
22.0,0.0043098
22.2,0.0045964
22.4,0.0046541
22.6,0.0043459
22.8,0.0044036
23.0,0.0046902
23.2,0.0045251
23.4,0.0043004
23.6,0.0045497
23.8,0.004681
24.0,0.0043824
24.2,0.0043631
24.4,0.0046689
24.6,0.0045736
24.8,0.0043035
25.0,0.0045
25.2,0.0046965
25.4,0.0044264
25.6,0.0043311
25.8,0.0046369
26.0,0.0046176
26.2,0.004319
26.4,0.0044503
26.6,0.0046996
26.8,0.0044749
27.0,0.0043098
27.2,0.0045964
27.4,0.0046541
27.6,0.0043459
27.8,0.0044036
28.0,0.0046902
28.2,0.0045251
28.4,0.0043004
28.6,0.0045497
28.8,0.004681
29.0,0.0043824
29.2,0.0043631
29.4,0.0046689
29.6,0.0045736
29.8,0.0043035
30.0,0.0045
30.2,0.0046965
30.4,0.0044264
30.6,0.0043311
30.8,0.0046369
31.0,0.0046176
31.2,0.004319
31.4,0.0044503
31.6,0.0046996
31.8,0.0044749
32.0,0.0043098
32.2,0.0045964
32.4,0.0046541
32.6,0.0043459
32.8,0.0044036
33.0,0.0046902
33.2,0.0045251
33.4,0.0043004
33.6,0.0045497
33.8,0.004681
34.0,0.0043824
34.2,0.0043631
34.4,0.0046689
34.6,0.0045736
