time_s,dac_v,adc_v
0.0,0.0,0.0
0.2,0.0012533,0.0008858
0.4,0.0024869,0.0012942
0.6,0.0036812,0.0018558
0.8,0.0048175,0.0027866
1.0,0.0058779,0.0033504
1.2,0.0068455,0.003584
1.4,0.0077051,0.0041881
1.6,0.0084433,0.0048434
1.8,0.0090483,0.0049515
2.0,0.0095106,0.0050406
2.2,0.0098229,0.0054989
2.4,0.0099803,0.0056432
2.6,0.0099803,0.005335
2.8,0.0098229,0.0053062
3.0,0.0095106,0.005421
3.2,0.0090483,0.0050016
3.4,0.0084433,0.0044442
3.6,0.0077051,0.0042876
3.8,0.0068455,0.003946
4.0,0.0058779,0.0031153
4.2,0.0048175,0.0025127
4.4,0.0036812,0.0021936
4.6,0.0024869,0.0014414
4.8,0.0012533,0.0004929
5.0,-0.0,-0.0
5.2,-0.0012533,-0.0004929
5.4,-0.0024869,-0.0014414
5.6,-0.0036812,-0.0021936
5.8,-0.0048175,-0.0025127
6.0,-0.0058779,-0.0031153
6.2,-0.0068455,-0.003946
6.4,-0.0077051,-0.0042876
6.6,-0.0084433,-0.0044442
6.8,-0.0090483,-0.0050016
7.0,-0.0095106,-0.005421
7.2,-0.0098229,-0.0053062
7.4,-0.0099803,-0.005335
7.6,-0.0099803,-0.0056432
7.8,-0.0098229,-0.0054989
8.0,-0.0095106,-0.0050406
8.2,-0.0090483,-0.0049515
8.4,-0.0084433,-0.0048434
8.6,-0.0077051,-0.0041881
8.8,-0.0068455,-0.003584
9.0,-0.0058779,-0.0033504
9.2,-0.0048175,-0.0027866
9.4,-0.0036812,-0.0018558
9.6,-0.0024869,-0.0012942
9.8,-0.0012533,-0.0008858
10.0,-0.0,-0.0
10.2,0.0012533,0.0008858
10.4,0.0024869,0.0012942
10.6,0.0036812,0.0018558
10.8,0.0048175,0.0027866
11.0,0.0058779,0.0033504
11.2,0.0068455,0.003584
11.4,0.0077051,0.0041881
11.6,0.0084433,0.0048434
11.8,0.0090483,0.0049515
12.0,0.0095106,0.0050406
12.2,0.0098229,0.0054989
12.4,0.0099803,0.0056432
12.6,0.0099803,0.005335
12.8,0.0098229,0.0053062
13.0,0.0095106,0.005421
13.2,0.0090483,0.0050016
13.4,0.0084433,0.0044442
13.6,0.0077051,0.0042876
13.8,0.0068455,0.003946
14.0,0.0058779,0.0031153
14.2,0.0048175,0.0025127
14.4,0.0036812,0.0021936
14.6,0.0024869,0.0014414
14.8,0.0012533,0.0004929
15.0,0.0,0.0
15.2,-0.0012533,-0.0004929
15.4,-0.0024869,-0.0014414
15.6,-0.0036812,-0.0021936
15.8,-0.0048175,-0.0025127
16.0,-0.0058779,-0.0031153
16.2,-0.0068455,-0.003946
16.4,-0.0077051,-0.0042876
16.6,-0.0084433,-0.0044442
16.8,-0.0090483,-0.0050016
17.0,-0.0095106,-0.005421
17.2,-0.0098229,-0.0053062
17.4,-0.0099803,-0.005335
17.6,-0.0099803,-0.0056432
17.8,-0.0098229,-0.0054989
18.0,-0.0095106,-0.0050406
18.2,-0.0090483,-0.0049515
18.4,-0.0084433,-0.0048434
18.6,-0.0077051,-0.0041881
18.8,-0.0068455,-0.003584
19.0,-0.0058779,-0.0033504
19.2,-0.0048175,-0.0027866
19.4,-0.0036812,-0.0018558
19.6,-0.0024869,-0.0012942
19.8,-0.0012533,-0.0008858
20.0,-0.0,-0.0
20.2,0.0012533,0.0008858
20.4,0.0024869,0.0012942
20.6,0.0036812,0.0018558
20.8,0.0048175,0.0027866
21.0,0.0058779,0.0033504
21.2,0.0068455,0.003584
21.4,0.0077051,0.0041881
21.6,0.0084433,0.0048434
21.8,0.0090483,0.0049515
22.0,0.0095106,0.0050406
22.2,0.0098229,0.0054989
