time_s,dac_v,adc_v
0.0,0.0,0.0
0.2,0.0012533,0.0011805
0.4,0.0024869,0.0011837
0.6,0.0036812,0.0016025
0.8,0.0048175,0.0029919
1.0,0.0058779,0.0035267
1.2,0.0068455,0.0033126
1.4,0.0077051,0.0041135
1.6,0.0084433,0.0051428
1.8,0.0090483,0.0049139
2.0,0.0095106,0.0047553
2.2,0.0098229,0.0056435
2.4,0.0099803,0.0058744
2.6,0.0099803,0.0051039
2.8,0.0098229,0.0051617
3.0,0.0095106,0.0057063
3.2,0.0090483,0.0050392
3.4,0.0084433,0.0041448
3.6,0.0077051,0.0043622
3.8,0.0068455,0.0042174
4.0,0.0058779,0.0029389
4.2,0.0048175,0.0023074
4.4,0.0036812,0.0024468
4.6,0.0024869,0.0015519
4.8,0.0012533,0.0001982
5.0,-0.0,-0.0
5.2,-0.0012533,-0.0001982
5.4,-0.0024869,-0.0015519
5.6,-0.0036812,-0.0024468
5.8,-0.0048175,-0.0023074
6.0,-0.0058779,-0.0029389
6.2,-0.0068455,-0.0042174
6.4,-0.0077051,-0.0043622
6.6,-0.0084433,-0.0041448
6.8,-0.0090483,-0.0050392
7.0,-0.0095106,-0.0057063
7.2,-0.0098229,-0.0051617
7.4,-0.0099803,-0.0051039
7.6,-0.0099803,-0.0058744
7.8,-0.0098229,-0.0056435
8.0,-0.0095106,-0.0047553
8.2,-0.0090483,-0.0049139
8.4,-0.0084433,-0.0051428
8.6,-0.0077051,-0.0041135
8.8,-0.0068455,-0.0033126
9.0,-0.0058779,-0.0035267
9.2,-0.0048175,-0.0029919
9.4,-0.0036812,-0.0016025
9.6,-0.0024869,-0.0011837
9.8,-0.0012533,-0.0011805
10.0,-0.0,-0.0
10.2,0.0012533,0.0011805
10.4,0.0024869,0.0011837
10.6,0.0036812,0.0016025
10.8,0.0048175,0.0029919
11.0,0.0058779,0.0035267
11.2,0.0068455,0.0033126
11.4,0.0077051,0.0041135
11.6,0.0084433,0.0051428
11.8,0.0090483,0.0049139
12.0,0.0095106,0.0047553
12.2,0.0098229,0.0056435
12.4,0.0099803,0.0058744
12.6,0.0099803,0.0051039
12.8,0.0098229,0.0051617
13.0,0.0095106,0.0057063
13.2,0.0090483,0.0050392
13.4,0.0084433,0.0041448
13.6,0.0077051,0.0043622
13.8,0.0068455,0.0042174
14.0,0.0058779,0.0029389
14.2,0.0048175,0.0023074
14.4,0.0036812,0.0024468
14.6,0.0024869,0.0015519
14.8,0.0012533,0.0001982
15.0,0.0,-0.0
15.2,-0.0012533,-0.0001982
15.4,-0.0024869,-0.0015519
15.6,-0.0036812,-0.0024468
15.8,-0.0048175,-0.0023074
16.0,-0.0058779,-0.0029389
16.2,-0.0068455,-0.0042174
16.4,-0.0077051,-0.0043622
16.6,-0.0084433,-0.0041448
16.8,-0.0090483,-0.0050392
17.0,-0.0095106,-0.0057063
17.2,-0.0098229,-0.0051617
17.4,-0.0099803,-0.0051039
17.6,-0.0099803,-0.0058744
17.8,-0.0098229,-0.0056435
18.0,-0.0095106,-0.0047553
18.2,-0.0090483,-0.0049139
18.4,-0.0084433,-0.0051428
18.6,-0.0077051,-0.0041135
18.8,-0.0068455,-0.0033126
19.0,-0.0058779,-0.0035267
19.2,-0.0048175,-0.0029919
19.4,-0.0036812,-0.0016025
19.6,-0.0024869,-0.0011837
19.8,-0.0012533,-0.0011805
20.0,-0.0,-0.0
20.2,0.0012533,0.0011805
20.4,0.0024869,0.0011837
20.6,0.0036812,0.0016025
20.8,0.0048175,0.0029919
21.0,0.0058779,0.0035267
21.2,0.0068455,0.0033126
21.4,0.0077051,0.0041135
21.6,0.0084433,0.0051428
21.8,0.0090483,0.0049139
22.0,0.0095106,0.0047553
22.2,0.0098229,0.0056435
22.4,0.0099803,0.0058744
22.6,0.0099803,0.0051039
22.8,0.0098229,0.0051617
23.0,0.0095106,0.0057063
23.2,0.0090483,0.0050392
23.4,0.0084433,0.0041448
23.6,0.0077051,0.0043622
23.8,0.0068455,0.0042174
24.0,0.0058779,0.0029389
24.2,0.0048175,0.0023074
24.4,0.0036812,0.0024468
24.6,0.0024869,0.0015519
24.8,0.0012533,0.0001982
25.0,0.0,-0.0
25.2,-0.0012533,-0.0001982
25.4,-0.0024869,-0.0015519
25.6,-0.0036812,-0.0024468
25.8,-0.0048175,-0.0023074
26.0,-0.0058779,-0.0029389
26.2,-0.0068455,-0.0042174
26.4,-0.0077051,-0.0043622
26.6,-0.0084433,-0.0041448
26.8,-0.0090483,-0.0050392
27.0,-0.0095106,-0.0057063
27.2,-0.0098229,-0.0051617
27.4,-0.0099803,-0.0051039
27.6,-0.0099803,-0.0058744
27.8,-0.0098229,-0.0056435
28.0,-0.0095106,-0.0047553
28.2,-0.0090483,-0.0049139
28.4,-0.0084433,-0.0051428
28.6,-0.0077051,-0.0041135
28.8,-0.0068455,-0.0033126
29.0,-0.0058779,-0.0035267
29.2,-0.0048175,-0.0029919
29.4,-0.0036812,-0.0016025
29.6,-0.0024869,-0.0011837
29.8,-0.0012533,-0.0011805
30.0,-0.0,-0.0
30.2,0.0012533,0.0011805
30.4,0.0024869,0.0011837
30.6,0.0036812,0.0016025
30.8,0.0048175,0.0029919
31.0,0.0058779,0.0035267
31.2,0.0068455,0.0033126
31.4,0.0077051,0.0041135
31.6,0.0084433,0.0051428
31.8,0.0090483,0.0049139
32.0,0.0095106,0.0047553
32.2,0.0098229,0.0056435
32.4,0.0099803,0.0058744
32.6,0.0099803,0.0051039
32.8,0.0098229,0.0051617
33.0,0.0095106,0.0057063
33.2,0.0090483,0.0050392
33.4,0.0084433,0.0041448
33.6,0.0077051,0.0043622
33.8,0.0068455,0.0042174
34.0,0.0058779,0.0029389
34.2,0.0048175,0.0023074
34.4,0.0036812,0.0024468
34.6,0.0024869,0.0015519
34.8,0.0012533,0.0001982
35.0,0.0,-0.0
35.2,-0.0012533,-0.0001982
35.4,-0.0024869,-0.0015519
35.6,-0.0036812,-0.0024468
35.8,-0.0048175,-0.0023074
36.0,-0.0058779,-0.0029389
36.2,-0.0068455,-0.0042174
36.4,-0.0077051,-0.0043622
36.6,-0.0084433,-0.0041448
36.8,-0.0090483,-0.0050392
37.0,-0.0095106,-0.0057063
37.2,-0.0098229,-0.0051617
37.4,-0.0099803,-0.0051039
37.6,-0.0099803,-0.0058744
37.8,-0.0098229,-0.0056435
38.0,-0.0095106,-0.0047553
38.2,-0.0090483,-0.0049139
38.4,-0.0084433,-0.0051428
38.6,-0.0077051,-0.0041135
38.8,-0.0068455,-0.0033126
39.0,-0.0058779,-0.0035267
39.2,-0.0048175,-0.0029919
39.4,-0.0036812,-0.0016025
39.6,-0.0024869,-0.0011837
39.8,-0.0012533,-0.0011805
40.0,0.0,0.0
40.2,0.0012533,0.0011805
40.4,0.0024869,0.0011837
40.6,0.0036812,0.0016025
40.8,0.0048175,0.0029919
41.0,0.0058779,0.0035267
41.2,0.0068455,0.0033126
41.4,0.0077051,0.0041135
41.6,0.0084433,0.0051428
41.8,0.0090483,0.0049139
42.0,0.0095106,0.0047553
42.2,0.0098229,0.0056435
42.4,0.0099803,0.0058744
42.6,0.0099803,0.0051039
42.8,0.0098229,0.0051617
43.0,0.0095106,0.0057063
43.2,0.0090483,0.0050392
43.4,0.0084433,0.0041448
43.6,0.0077051,0.0043622
43.8,0.0068455,0.0042174
44.0,0.0058779,0.0029389
44.2,0.0048175,0.0023074
44.4,0.0036812,0.0024468
44.6,0.0024869,0.0015519
44.8,0.0012533,0.0001982
45.0,-0.0,0.0
45.2,-0.0012533,-0.0001982
45.4,-0.0024869,-0.0015519
45.6,-0.0036812,-0.0024468
45.8,-0.0048175,-0.0023074
46.0,-0.0058779,-0.0029389
46.2,-0.0068455,-0.0042174
46.4,-0.0077051,-0.0043622
46.6,-0.0084433,-0.0041448
46.8,-0.0090483,-0.0050392
47.0,-0.0095106,-0.0057063
47.2,-0.0098229,-0.0051617
47.4,-0.0099803,-0.0051039
47.6,-0.0099803,-0.0058744
47.8,-0.0098229,-0.0056435
48.0,-0.0095106,-0.0047553
48.2,-0.0090483,-0.0049139
48.4,-0.0084433,-0.0051428
48.6,-0.0077051,-0.0041135
48.8,-0.0068455,-0.0033126
49.0,-0.0058779,-0.0035267
49.2,-0.0048175,-0.0029919
49.4,-0.0036812,-0.0016025
49.6,-0.0024869,-0.0011837
49.8,-0.0012533,-0.0011805
50.0,0.0,0.0
50.2,0.0012533,0.0011805
50.4,0.0024869,0.0011837
50.6,0.0036812,0.0016025
50.8,0.0048175,0.0029919
51.0,0.0058779,0.0035267
51.2,0.0068455,0.0033126
51.4,0.0077051,0.0041135
51.6,0.0084433,0.0051428
51.8,0.0090483,0.0049139
52.0,0.0095106,0.0047553
52.2,0.0098229,0.0056435
52.4,0.0099803,0.0058744
52.6,0.0099803,0.0051039
52.8,0.0098229,0.0051617
53.0,0.0095106,0.0057063
53.2,0.0090483,0.0050392
53.4,0.0084433,0.0041448
53.6,0.0077051,0.0043622
53.8,0.0068455,0.0042174
54.0,0.0058779,0.0029389
54.2,0.0048175,0.0023074
54.4,0.0036812,0.0024468
54.6,0.0024869,0.0015519
54.8,0.0012533,0.0001982
