time_s,voltage_v
0.0,0.0
0.2,0.0014343
0.4,0.002641
0.6,0.0036315
0.8,0.0046211
1.0,0.0057603
1.2,0.0069418
1.4,0.0079047
1.6,0.0085169
1.8,0.0089114
2.0,0.0093204
2.2,0.0097978
2.4,0.0101491
2.6,0.0101491
2.8,0.0097978
3.0,0.0093204
3.2,0.0089114
3.4,0.0085169
3.6,0.0079047
3.8,0.0069418
4.0,0.0057603
4.2,0.0046211
4.4,0.0036315
4.6,0.002641
4.8,0.0014343
5.0,-0.0
5.2,-0.0014343
5.4,-0.002641
5.6,-0.0036315
5.8,-0.0046211
6.0,-0.0057603
6.2,-0.0069418
6.4,-0.0079047
6.6,-0.0085169
6.8,-0.0089114
7.0,-0.0093204
7.2,-0.0097978
7.4,-0.0101491
7.6,-0.0101491
7.8,-0.0097978
8.0,-0.0093204
8.2,-0.0089114
8.4,-0.0085169
8.6,-0.0079047
8.8,-0.0069418
9.0,-0.0057603
9.2,-0.0046211
9.4,-0.0036315
9.6,-0.002641
9.8,-0.0014343
10.0,-0.0
10.2,0.0014343
10.4,0.002641
10.6,0.0036315
10.8,0.0046211
11.0,0.0057603
11.2,0.0069418
11.4,0.0079047
11.6,0.0085169
11.8,0.0089114
12.0,0.0093204
12.2,0.0097978
12.4,0.0101491
12.6,0.0101491
12.8,0.0097978
13.0,0.0093204
13.2,0.0089114
13.4,0.0085169
13.6,0.0079047
13.8,0.0069418
14.0,0.0057603
14.2,0.0046211
14.4,0.0036315
14.6,0.002641
14.8,0.0014343
15.0,0.0
15.2,-0.0014343
15.4,-0.002641
15.6,-0.0036315
15.8,-0.0046211
16.0,-0.0057603
16.2,-0.0069418
16.4,-0.0079047
16.6,-0.0085169
16.8,-0.0089114
17.0,-0.0093204
17.2,-0.0097978
17.4,-0.0101491
17.6,-0.0101491
17.8,-0.0097978
18.0,-0.0093204
18.2,-0.0089114
18.4,-0.0085169
18.6,-0.0079047
18.8,-0.0069418
19.0,-0.0057603
19.2,-0.0046211
19.4,-0.0036315
19.6,-0.002641
19.8,-0.0014343
20.0,-0.0
20.2,0.0014343
20.4,0.002641
20.6,0.0036315
20.8,0.0046211
21.0,0.0057603
21.2,0.0069418
21.4,0.0079047
21.6,0.0085169
21.8,0.0089114
22.0,0.0093204
22.2,0.0097978
22.4,0.0101491
22.6,0.0101491
22.8,0.0097978
23.0,0.0093204
23.2,0.0089114
23.4,0.0085169
23.6,0.0079047
23.8,0.0069418
24.0,0.0057603
24.2,0.0046211
24.4,0.0036315
24.6,0.002641
24.8,0.0014343
25.0,0.0
25.2,-0.0014343
25.4,-0.002641
25.6,-0.0036315
25.8,-0.0046211
26.0,-0.0057603
26.2,-0.0069418
26.4,-0.0079047
26.6,-0.0085169
26.8,-0.0089114
27.0,-0.0093204
27.2,-0.0097978
27.4,-0.0101491
27.6,-0.0101491
27.8,-0.0097978
28.0,-0.0093204
28.2,-0.0089114
28.4,-0.0085169
28.6,-0.0079047
28.8,-0.0069418
29.0,-0.0057603
29.2,-0.0046211
29.4,-0.0036315
29.6,-0.002641
29.8,-0.0014343
30.0,-0.0
30.2,0.0014343
30.4,0.002641
30.6,0.0036315
30.8,0.0046211
31.0,0.0057603
31.2,0.0069418
31.4,0.0079047
31.6,0.0085169
31.8,0.0089114
32.0,0.0093204
32.2,0.0097978
32.4,0.0101491
32.6,0.0101491
32.8,0.0097978
33.0,0.0093204
33.2,0.0089114
33.4,0.0085169
33.6,0.0079047
33.8,0.0069418
34.0,0.0057603
34.2,0.0046211
34.4,0.0036315
34.6,0.002641
34.8,0.0014343
35.0,0.0
35.2,-0.0014343
35.4,-0.002641
35.6,-0.0036315
35.8,-0.0046211
36.0,-0.0057603
36.2,-0.0069418
36.4,-0.0079047
36.6,-0.0085169
36.8,-0.0089114
37.0,-0.0093204
37.2,-0.0097978
37.4,-0.0101491
37.6,-0.0101491
37.8,-0.0097978
38.0,-0.0093204
38.2,-0.0089114
38.4,-0.0085169
38.6,-0.0079047
38.8,-0.0069418
39.0,-0.0057603
39.2,-0.0046211
39.4,-0.0036315
39.6,-0.002641
39.8,-0.0014343
40.0,0.0
40.2,0.0014343
40.4,0.002641
40.6,0.0036315
40.8,0.0046211
41.0,0.0057603
41.2,0.0069418
41.4,0.0079047
41.6,0.0085169
41.8,0.0089114
42.0,0.0093204
42.2,0.0097978
42.4,0.0101491
42.6,0.0101491
42.8,0.0097978
43.0,0.0093204
43.2,0.0089114
43.4,0.0085169
43.6,0.0079047
43.8,0.0069418
44.0,0.0057603
44.2,0.0046211
44.4,0.0036315
44.6,0.002641
44.8,0.0014343
45.0,-0.0
45.2,-0.0014343
45.4,-0.002641
45.6,-0.0036315
45.8,-0.0046211
46.0,-0.0057603
46.2,-0.0069418
46.4,-0.0079047
46.6,-0.0085169
46.8,-0.0089114
47.0,-0.0093204
47.2,-0.0097978
47.4,-0.0101491
47.6,-0.0101491
47.8,-0.0097978
48.0,-0.0093204
48.2,-0.0089114
48.4,-0.0085169
48.6,-0.0079047
48.8,-0.0069418
49.0,-0.0057603
49.2,-0.0046211
49.4,-0.0036315
49.6,-0.002641
49.8,-0.0014343
50.0,0.0
50.2,0.0014343
50.4,0.002641
50.6,0.0036315
50.8,0.0046211
51.0,0.0057603
51.2,0.0069418
51.4,0.0079047
51.6,0.0085169
51.8,0.0089114
52.0,0.0093204
52.2,0.0097978
52.4,0.0101491
52.6,0.0101491
52.8,0.0097978
53.0,0.0093204
53.2,0.0089114
53.4,0.0085169
53.6,0.0079047
53.8,0.0069418
54.0,0.0057603
54.2,0.0046211
54.4,0.0036315
54.6,0.002641
54.8,0.0014343
55.0,-0.0
55.2,-0.0014343
55.4,-0.002641
55.6,-0.0036315
55.8,-0.0046211
56.0,-0.0057603
56.2,-0.0069418
56.4,-0.0079047
56.6,-0.0085169
56.8,-0.0089114
57.0,-0.0093204
57.2,-0.0097978
57.4,-0.0101491
57.6,-0.0101491
57.8,-0.0097978
58.0,-0.0093204
58.2,-0.0089114
58.4,-0.0085169
58.6,-0.0079047
58.8,-0.0069418
59.0,-0.0057603
59.2,-0.0046211
59.4,-0.0036315
59.6,-0.002641
59.8,-0.0014343
60.0,0.0
60.2,0.0014343
60.4,0.002641
60.6,0.0036315
60.8,0.0046211
61.0,0.0057603
61.2,0.0069418
61.4,0.0079047
61.6,0.0085169
61.8,0.0089114
62.0,0.0093204
62.2,0.0097978
62.4,0.0101491
62.6,0.0101491
62.8,0.0097978
63.0,0.0093204
63.2,0.0089114
63.4,0.0085169
63.6,0.0079047
63.8,0.0069418
64.0,0.0057603
64.2,0.0046211
64.4,0.0036315
64.6,0.002641
64.8,0.0014343
65.0,-0.0
65.2,-0.0014343
65.4,-0.002641
65.6,-0.0036315
65.8,-0.0046211
66.0,-0.0057603
66.2,-0.0069418
66.4,-0.0079047
66.6,-0.0085169
66.8,-0.0089114
67.0,-0.0093204
67.2,-0.0097978
67.4,-0.0101491
67.6,-0.0101491
67.8,-0.0097978
68.0,-0.0093204
68.2,-0.0089114
68.4,-0.0085169
68.6,-0.0079047
68.8,-0.0069418
69.0,-0.0057603
69.2,-0.0046211
69.4,-0.0036315
69.6,-0.002641
69.8,-0.0014343
70.0,0.0
70.2,0.0014343
70.4,0.002641
70.6,0.0036315
70.8,0.0046211
71.0,0.0057603
71.2,0.0069418
71.4,0.0079047
71.6,0.0085169
71.8,0.0089114
72.0,0.0093204
72.2,0.0097978
72.4,0.0101491
72.6,0.0101491
72.8,0.0097978
73.0,0.0093204
73.2,0.0089114
73.4,0.0085169
73.6,0.0079047
73.8,0.0069418
74.0,0.0057603
74.2,0.0046211
74.4,0.0036315
74.6,0.002641
74.8,0.0014343
75.0,-0.0
75.2,-0.0014343
75.4,-0.002641
75.6,-0.0036315
75.8,-0.0046211
76.0,-0.0057603
76.2,-0.0069418
76.4,-0.0079047
76.6,-0.0085169
76.8,-0.0089114
77.0,-0.0093204
77.2,-0.0097978
77.4,-0.0101491
77.6,-0.0101491
77.8,-0.0097978
78.0,-0.0093204
78.2,-0.0089114
78.4,-0.0085169
78.6,-0.0079047
78.8,-0.0069418
79.0,-0.0057603
79.2,-0.0046211
79.4,-0.0036315
79.6,-0.002641
79.8,-0.0014343
80.0,0.0
80.2,0.0014343
80.4,0.002641
80.6,0.0036315
80.8,0.0046211
81.0,0.0057603
81.2,0.0069418
81.4,0.0079047
81.6,0.0085169
81.8,0.0089114
82.0,0.0093204
82.2,0.0097978
82.4,0.0101491
82.6,0.0101491
82.8,0.0097978
83.0,0.0093204
83.2,0.0089114
83.4,0.0085169
83.6,0.0079047
83.8,0.0069418
84.0,0.0057603
84.2,0.0046211
84.4,0.0036315
84.6,0.002641
84.8,0.0014343
85.0,-0.0
85.2,-0.0014343
85.4,-0.002641
85.6,-0.0036315
85.8,-0.0046211
86.0,-0.0057603
86.2,-0.0069418
86.4,-0.0079047
86.6,-0.0085169
86.8,-0.0089114
87.0,-0.0093204
